Time resolution is 1 ps
simtime = 600, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 600, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 600, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 600, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 600, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 610, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 610, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 610, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 610, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 610, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 620, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 620, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 620, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 620, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 620, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 630, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 630, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 630, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 630, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 630, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 640, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 640, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 640, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 640, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 640, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 650, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 650, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 650, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 650, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 650, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 660, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 660, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 660, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 660, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 660, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 670, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 670, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 670, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 670, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 670, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 680, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 680, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 680, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 680, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 680, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 690, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 690, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 690, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 690, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 690, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 700, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 700, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 700, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 700, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 700, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 710, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 710, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 710, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 710, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 710, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 720, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 720, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 720, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 720, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 720, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 730, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 730, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 730, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 730, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 730, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 740, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 740, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 740, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 740, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 740, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 750, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 750, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 750, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 750, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 750, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 760, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 760, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 760, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 760, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 760, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 770, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 770, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 770, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 770, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 770, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 780, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 780, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 780, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 780, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 780, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 790, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 790, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 790, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 790, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 790, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 800, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 800, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 800, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 800, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 800, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 810, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 810, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 810, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 810, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 810, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 820, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 820, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 820, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 820, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 820, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 830, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 830, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 830, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 830, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 830, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 840, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 840, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 840, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 840, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 840, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 850, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 850, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 850, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 850, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 850, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 860, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 860, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 860, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 860, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 860, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 870, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 870, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 870, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 870, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 870, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 880, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 880, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 880, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 880, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 880, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 890, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 890, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 890, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 890, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 890, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 900, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 900, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 900, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 900, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 900, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 910, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 910, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 910, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 910, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 910, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 920, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 920, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 920, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 920, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 920, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 930, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 930, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
